competition_competitor_id,first_name,last_name,gender,organization_code,started_for_nf_country_name,started_for_nf_name,started_for_nf_code,date_of_birth,json_source
aafbbe68-5977-440f-833c-efc955a05625,Kristen,SANTOS-GRISWOLD,F,USA,United States of America,U.S. Speedskating,USA,1994-11-02T00:00:00+00:00,seoul_woman
5c1eed82-2fb1-4cfc-9af6-46bd36a1b3a7,Florence,BRUNELLE,F,CAN,Canada,Speed Skating Canada,CAN,2003-12-20T00:00:00+00:00,seoul_woman
5f41d2e8-95ba-4d77-a0e0-2849b475b983,Hanne,DESMET,F,BEL,Belgium,Fédération Royale Belge de Patinage de Vitesse,BEL,1996-10-26T00:00:00+00:00,seoul_woman
028a9faf-bb78-4a91-9a71-9f61589d80fd,Gilli,KIM,F,KOR,Republic of Korea,Korea Skating Union,KOR,2004-07-01T00:00:00+00:00,seoul_woman
7f93311a-945e-438a-a403-9a4a0fe55a3b,Kim,BOUTIN,F,CAN,Canada,Speed Skating Canada,CAN,1994-12-16T00:00:00+00:00,seoul_woman
3b92e263-959d-4148-bc28-6b249321e65a,Petra,JASZAPATI,F,HUN,Hungary,Hungarian National Skating Federation,HUN,1998-12-31T00:00:00+00:00,seoul_woman
f0868a34-8fcf-4ba3-b9f8-893125d80fe3,Arianna,FONTANA,F,ITA,Italy,Federazione Italiana Sport del Ghiaccio,ITA,1990-04-14T00:00:00+00:00,seoul_woman
e013b51e-a231-480c-af82-9c4375efe88f,Minjeong,CHOI,F,KOR,Republic of Korea,Korea Skating Union,KOR,1998-09-09T00:00:00+00:00,seoul_woman
d2927e4c-0031-433f-beae-ff993a972c19,Chiara,BETTI,F,ITA,Italy,Federazione Italiana Sport del Ghiaccio,ITA,2002-03-12T00:00:00+00:00,seoul_woman
e59a1327-d3f9-484f-a685-4d44a869bfbf,Xandra,VELZEBOER,F,NED,Netherlands,Koninklijke Nederlandsche Schaatsenrijders Bond,NED,2001-09-07T00:00:00+00:00,seoul_woman
50cb4da6-cb12-4c2c-a4e8-af0321e5425c,Nikola,MAZUR,F,POL,Poland,Polish Speed Skating Association,POL,1995-11-05T00:00:00+00:00,seoul_woman
e75e89fe-2989-441b-b579-cdbe5deb05dc,Corinne,STODDARD,F,USA,United States of America,U.S. Speedskating,USA,2001-08-15T00:00:00+00:00,seoul_woman
5f08259b-c0c0-4bd3-9ea5-eb2401fed5fb,Michelle,VELZEBOER,F,NED,Netherlands,Koninklijke Nederlandsche Schaatsenrijders Bond,NED,2003-03-09T00:00:00+00:00,seoul_woman
92c49e26-634d-43d6-9872-b7d5f1c4ba87,Kamila,SELLIER,F,POL,Poland,Polish Speed Skating Association,POL,2000-04-12T00:00:00+00:00,seoul_woman
696ce39e-3a18-4c72-a1a8-b13d5475ef96,Yana,KHAN,F,KAZ,Kazakhstan,Kazakhstan Figure Skating Skating Union,KAZ,2000-09-06T00:00:00+00:00,seoul_woman
d2c5f17b-aae0-4f38-a663-5ae155346501,Sukhee,SHIM,F,KOR,Republic of Korea,Korea Skating Union,KOR,1997-01-30T00:00:00+00:00,seoul_woman
bd14513f-84ae-4214-82ae-f2b2aca8d112,Rikki,DOAK,F,CAN,Canada,Speed Skating Canada,CAN,1998-10-27T00:00:00+00:00,seoul_woman
bce0f8e1-9172-4cd2-9396-25fca65dcff4,Kexin,FAN,F,CHN,China,Chinese Skating Association,CHN,1993-09-19T00:00:00+00:00,seoul_woman
a0337d9b-d1ea-42e6-b9b3-ac83e0e11cd8,Annabelle,GREEN,F,GBR,Great Britain,British Ice Skating,GBR,2002-08-11T00:00:00+00:00,seoul_woman
